song id, 歌曲名, 艺术家
2733381097,All I Knew Was You,E.F LINK
2746721284,Midnight City,Future Twist/ Hyp3rL3ss
2751978076,Disaster,NEOTEK/ Bella Renee
2742006178,Follow The Game,nehalcity/ Fokus Far
2743634143,Fireweed,F7M/ ENG!e/ heirloom blue
2737568025,Love Triangle,TimZz
2751736710,寻理,SADRECORDS/ 四叶草Swit.Z
2751736709,射手座,SADRECORDS/ d7
2751735790,韶光,SADRECORDS/ Bob Hou/ Fros7novA/ Invisible
2751736705,磁星,SADRECORDS/ Yinger Liam
2740901208,plastic heart (feat. LOA),Marek/ Loa
2745229704,Ghosts,Youth In Circles
2747784373,Nightlife,Everen Maxwell
2703272769,Breaking Free,Swirlx/ colormeblue.
2747783792,Summer,Everen Maxwell
2747784368,Nightlife (VIP),Everen Maxwell
2747784367,When Colors Cry,Everen Maxwell
2748519116,If I Die Young,Pushing Daizies/ MES
2745314119,Journey through dimensions,Quite Possibly/ Dotson/ Heaven Jones
2751612582,海平线的尽头,李昊天VastSky
2750681619,Where Do We Go,ZHANGYE/ Steve Aoki/ Rosie Darling
2743531817,Always You,Monika Santucci
2743711403,Right Here,Said The Sky
2742125979,Waking Me Up,KOIH/ UNDY
2747414276,Wait For You,MEDZ/ Lexi Scatena
2751376015,暖光,PICK
2750751115,抵达,PICK
2749086015,边界,PICK
2748830356,异世界,PICK
2746446358,信标,PICK
2745794020,跳昼逻辑,PICK
2744843949,单独个体,PICK
2744154426,迟到的爱,PICK
2743285334,漫野,PICK
2742170613,桌板上的三八线,PICK
2740999247,当风穿过小巷,PICK
2738115020,归途信号,PICK
2737386298,颠覆,PICK
2736632369,茶多酚,PICK
2735179995,月光漫游,PICK
2734056394,森林里的旧钢琴,PICK
2729472627,星际启程,PICK
2726566927,一切都顺利,PICK
2725614691,怦然心动,PICK
2719071331,未完的对话,PICK
2716180013,0糖汽水,PICK
2716179775,模糊记忆,PICK
2716174290,你配么,PICK
2716170556,羽翼,PICK
2713590281,身影随行,PICK
2711561428,存档·读取,PICK
2708161538,懵懂,PICK
2708163284,在最普通的日子里，藏着人间烟火和无尽的欢喜,PICK
2708161059,Ridge,PICK
2706637455,520这一天我要是能变成玩偶在火星上买那就更奇妙了,PICK
2706324262,奔赴日落,PICK
2702784116,生命花,PICK
2699571338,茧房,PICK
2699555747,别忘了我,PICK
2698441284,那些罪该万死的人通通杀了,PICK
2697701562,光,PICK
2694137272,苦,PICK
2692019281,纵容,PICK
2690268302,真的好想摆烂,PICK
2690182783,Peace And Love,PICK
2685866872,当你无路可循的时候,PICK
2676031013,该何去何从？,PICK
2675258122,Daydreaming,PICK
2672459989,呼吸森林,PICK
2667942142,时光穿梭,PICK
2667445853,流星尾,PICK
2682478816,快来 快来,PICK
2681035714,Love END,PICK
2675262045,Liberty,PICK
2709687123,黑夜坠落,PICK
2751999684,Retraced(zjaxu Remix),zjaxu
2751998028,Muddy [Sped Up],Rllovx
2751999830,Muddy [Slowed - Reverb],Rllovx
2751595212,潮汐漂流瓶,CHRYSAD
2751104969,小雅·鹿鸣 (Alibilan Remix),Alibilan
2751105580,小雅·鹿鸣 (Alibilan Remix)(Instrumental),Alibilan
2748483175,Looking For Changing,_Warpcore_/ Vultures Records/ The Ninth Day Records
2749178562,BRUH.,Tiru/ M2K Records
2737569221,you & i,Muni
2746549810,Aster,Vanatice
2746519679,Be Mine (Slowed + Reverb),SIZELAND/ KYRIPH
2751226559,Golden（WilliamHenRy remix）,WilliamHenRy
2751332764,Teenage Dream x Ass Back Home x Not the 1975 (SadBois Edit),SadBois
2749052446,Jewel You [Sped Up],Stardust/ K3NTO/ Mitsucaster/ Nightcore Star
2750191776,Yellow lie (Never her type),Lucras
2750298637,Sahara (Sora Remix),NURKO/ Sora
2750298636,Evergreen (Synymata Remix),NURKO/ Jordan Shaw/ Synymata
2750300195,Evergreen (CHENDA Remix),NURKO/ Jordan Shaw/ Chenda
2750298635,Darkroom (LEUTHERO Remix),NURKO/ Kameron/ LEUTHERO
2747083634,HARDCORE,SUPER DARK
2743691714,A Thousand Cuts (feat. Demitri Medina),CRaymak/ Renn/ Demitri Medina
2744498471,Honest,Mazare/ Drive!Drive!
2714218087,Martin Garrix & Lauv - MAD (SYNTH+1 Flip),SYNTH+1
2750677754,Snailephant x Lockdown x LaserBeam (Cloudy Parallels Edit),Cloudy Parallels/ Josh Rubin/ Snails/ Wooli/ Excision/ Ray Volpe
2750993701,Retraced (NOCO remix),No-One CN/ Co_Univ
2751004493,Forever (Illenium) x Feel Good (Gryffin & Illenium) x Never Gone (Said the Sky) [WAYWHEN MASHUP],WAYWHEN
2690909956,peaceful stroll on a tuesday morning!,Syrum
2739046869,Feel It All,LOWNETA
2742492278,Lost,Ardix
2739672276,Up Again (feat. Demi Jade),Eldroid/ Demi Jade
2728306265,ENCHANTED VIP,Syrum
2750950872,In My Arms (VLCN Remix),VLCN
2750924479,Royal & The Serpent/ Nikademis/ 9 Worlds - No Regrets x Waking Up in A Dream (Karmaxis Mashup),Karmaxis
2750921648,ILLENIUM - Ur Alive (GhostDragon Remix),GhostDragon
2696174800,重构,Settled Edge
2696174799,噗通,YellowCheese
2748563873,梦樱残响 天落海息,鸽徳Goothe
2748567279,梦樱残响 天落海息 伴奏,鸽徳Goothe
2749394895,星繭の解離,Xsetion
2749178708,battle of the stars,.moon4ever/ M2K Records
2746520609,Be Mine (Sped Up),SIZELAND/ KYRIPH
2746554873,Fight The Dark,Stay In The Light
2749583993,酲,Ucix_/ 2088 RECORDS
2707606513,H E A R T - A T T A C K,PhantomBlind/ DOVAHKIIN/ 2088 RECORDS
2748675968,万物生,钟艺鸣/ 星尘纪之声
2664207666,You ll be gone,Sss1Crazy
2718623748,Tell Me,Leon Wong/ DARKNIGHT
2741515885,Human,Vanic
2750406040,Gravity Lost,Martin Icarus
2750397956,Beautiful People,Aerwavez Music
2750033679,长安烬明,Lorizone/ 绫炘kitty
2701386982,GIRL,S1NTD
2726746690,NURKO-save me（S1NTD remix）,S1NTD
2748994754,We'll Rise,S1NTD/ The Ninth Day Records
2750128815,More Than Enough (feat. Leeny),Leeva/ LEENY
2734440042,too hot!,if found
2681278253,idealist!,lillybug
2725908889,The Dare - Girls (Lizdek Remix),Lizdek
2746733301,Heal Me,Aarkos
2750145159,AS LONG AS I GOT YOU vs. Forever (Rhoele Mashup),RHOELE
2750125857,2020 unfinished,Sore/ Soar
2750128667,Rose,XinMetly/ Isaac Woods/ Mike Wilkerson
2750115067,Intoxicated,The Sed
2750115039,Love Souvenir,The Sed
2750062494,Sunset Memories,Sean Ven
2747420724,Glitter & Gold,Wurme/ Benzi
2746521289,Escape Reality,Arli Tom!
2745210131,Can't Walk Away,NightyKid/ Phil Dott
2750039553,Crush 40 - Knight Of The Wind (Morva Remix),Morva
2688722243,Volvemos A Ser,DJ JarZ
2698634749,Thank God You Tried,DJ JarZ
2749093477,Take Me High,DJ JarZ
2649465989,Slipping,Your Evil Boyfriend
2649518612,Far From Love (feat. Josh Paulino),Sauniks/ Your Evil Boyfriend/ Josh Paulino
2729904687,Delete You Later,Your Evil Boyfriend
2741943595,You don't mind,Lian Wolf/ Bluent/ nowayback collective
2745589284,You Left (feat. Gabriel Eli),Shams/ Gabriel Eli
2663901798,Can't Get Over You,Alekapi/ Zamira
2745004989,if i don't laugh/ i'll cry,Alekapi/ Zamira
2740821545,Supposed 2 Let U Go,SNOWFYRE
2747867166,Slipping Away (feat. Megan Cross),Zioz/ Megan Cross
2670090599,Would You Do?,Aiden Cha
